A	Part of speech: adjective
V6I.IAI3S	Part of speech: verb, progressive, -α stem -μι verb, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V6I.IMI1S	Part of speech: verb, progressive, -α stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
V6I.IMI2S	Part of speech: verb, progressive, -α stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: second<br />Number: singular
V6I.IMI3P	Part of speech: verb, progressive, -α stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: plural
V6I.IMI3S	Part of speech: verb, progressive, -α stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: singular
V6.PAD3S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V6.PAI1S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V6.PAI2P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V6.PAI3S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V6.PAN	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle
V6.PAO3S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V6.PAPAS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular
V6.PAPNS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V6.PAS3P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V6.PMD2P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V6.PMI1P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: plural
V6.PMI1S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V6.PMI2P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V6.PMI2S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: singular
V6.PMI3P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V6.PMI3S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V6.PMN	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle
V6.PMO1S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V6.PMPAP	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V6.PMPAS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular
V6.PMPDS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular
V6.PMPGS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular
V6.PMPNP	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Number: plural
V6.PMPNS	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V6.PMS1P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: plural
V6.PMS1S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V6.PMS2P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V6.PMS2S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: singular
V6.PMS3P	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V6.PMS3S	Part of speech: verb, progressive, -α stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V7.AAS2P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
V7.AAS2S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
V7I.IAI2S	Part of speech: verb, progressive, -ε stem -μι verb, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: singular
V7I.IAI3S	Part of speech: verb, progressive, -ε stem -μι verb, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V7I.IMI3P	Part of speech: verb, progressive, -ε stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: plural
V7I.IMI3S	Part of speech: verb, progressive, -ε stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: singular
V7I.IPI3S	Part of speech: verb, progressive, -ε stem -μι verb, augmented<br />Tense: imperfect<br />Voice: passive<br />Mood: indicative<br />Person: third<br />Number: singular
V7.PAD2P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V7.PAI1S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V7.PAI2P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V7.PAI2S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V7.PAI3S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V7.PAN	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle
V7.PAPAP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V7.PAPGP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural
V7.PAPNP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural
V7.PAPNS	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V7.PAS2S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V7.PMI1S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: first<br />Number: singular
V7.PMI2P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: second<br />Number: plural
V7.PMI3S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V7.PMN	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle
V7.PMPAP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V7.PMPNP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Number: plural
V7.PMPNS	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V7.PMS3P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: plural
V7.PPD3P	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: plural
V7.PPI3S	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: singular
V7.PPPAP	Part of speech: verb, progressive, -ε stem -μι verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V8I.IAI3P	Part of speech: verb, progressive, -ο stem -μι verb, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: plural
V8I.IAI3S	Part of speech: verb, progressive, -ο stem -μι verb, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V8I.IMI3P	Part of speech: verb, progressive, -ο stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: plural
V8I.IMI3S	Part of speech: verb, progressive, -ο stem -μι verb, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: singular
V8.IMI2S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: second<br />Number: singular
V8.PAD2S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V8.PAI1S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V8.PAI2P	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V8.PAI2S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V8.PAI3P	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V8.PAI3S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V8.PAN	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle
V8.PAO3S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V8.PAPAS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular
V8.PAPDP	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Number: plural
V8.PAPDS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular
V8.PAPGP	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural
V8.PAPGS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular
V8.PAPNP	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural
V8.PAPNS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V8.PAS3P	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V8.PMI3S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Person: third<br />Number: singular
V8.PMPAP	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V8.PMPAS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular
V8.PMPNS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: middle<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V8.PPI3S	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Person: third<br />Number: singular
V8.PPPNS	Part of speech: verb, progressive, -ο stem -μι verb<br />Tense: present<br />Voice: passive<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V9.AAS2P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
V9.AAS3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
V9.AMI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: aorist<br />Voice: middle<br />Person: first<br />Number: singular
V9.FMI3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: future<br />Voice: middle<br />Person: third<br />Number: singular
V9.IAI1P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: first<br />Number: plural
V9.IAI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: first<br />Number: singular
V9.IAI2P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: plural
V9.IAI2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: singular
V9.IAI3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: plural
V9.IAI3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V9.IAS2P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: plural
V9.IAS2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: singular
V9I.IAI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: first<br />Number: singular
V9I.IAI2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: singular
V9I.IMI1P	Part of speech: verb, progressive, εἰμί and εἰ̂μι, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: plural
V9I.IMI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
V9.IMI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
V9.PAD2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V9.PAD3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V9.PAD3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V9.PAI1P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: plural
V9.PAI1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V9.PAI2P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V9.PAI2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V9.PAI3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V9.PAI3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V9.PAN	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle
V9.PAO2P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: plural
V9.PAO3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V9.PAO3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
V9.PAPAP	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Number: plural
V9.PAPAS	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: accusative<br />Participle Number: singular
V9.PAPDP	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Number: plural
V9.PAPDS	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: dative<br />Participle Number: singular
V9.PAPGP	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Number: plural
V9.PAPGS	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: genitive<br />Participle Number: singular
V9.PAPNP	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Number: plural
V9.PAPNS	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Participle Case: nominative<br />Participle Number: singular
V9.PAS1S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: first<br />Number: singular
V9.PAS2S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: second<br />Number: singular
V9.PAS3P	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: plural
V9.PAS3S	Part of speech: verb, progressive, εἰμί and εἰ̂μι<br />Tense: present<br />Voice: active<br />Mood: participle<br />Person: third<br />Number: singular
VA.AAD2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VA.AAD2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VA.AAD3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VA.AAD3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VA.AAI1P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: plural
VA.AAI1S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
VA.AAI2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VA.AAI2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VA.AAI3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VA.AAI3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VA.AAN	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active
VA.AAO1P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: plural
VA.AAO1S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
VA.AAO2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VA.AAO3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VA.AAO3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VA.AAPAP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: accusative<br />Number: plural
VA.AAPAS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: accusative<br />Participle Number: singular
VA.AAPDP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: dative<br />Number: plural
VA.AAPDS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: dative<br />Participle Number: singular
VA.AAPGP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: genitive<br />Number: plural
VA.AAPGS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: genitive<br />Participle Number: singular
VA.AAPNP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: nominative<br />Number: plural
VA.AAPNS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Participle Case: nominative<br />Participle Number: singular
VA.AAS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active
VA.AAS1P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: plural
VA.AAS1S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
VA.AAS2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
VA.AAS2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
VA.AAS3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
VA.AAS3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
V.AAD2P	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
V.AAD2S	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
V.AAD3P	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
V.AAD3S	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VA.ADI2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Person: second<br />Number: plural
V.AAI1P	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: plural
V.AAI1S	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
V.AAI2P	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: plural
V.AAI2S	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
V.AAI3P	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: plural
V.AAI3S	Part of speech: verb<br />Tense: aorist<br />Voice: active<br />Person: third<br />Number: singular
VA.AMD2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: plural
VA.AMD2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: singular
VA.AMD3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: plural
VA.AMD3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: singular
VA.AMI1S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: first<br />Number: singular
VA.AMI2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: plural
VA.AMI2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: singular
VA.AMI3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: plural
VA.AMI3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: singular
VA.AMN	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle
VA.AMO3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: plural
VA.AMO3S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: singular
VA.AMPAS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: accusative<br />Participle Number: singular
VA.AMPDS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: dative<br />Participle Number: singular
VA.AMPGP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: genitive<br />Number: plural
VA.AMPGS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: genitive<br />Participle Number: singular
VA.AMPNP	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: nominative<br />Number: plural
VA.AMPNS	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Participle Case: nominative<br />Participle Number: singular
VA.AMS1P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: first<br />Number: plural
VA.AMS1S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: first<br />Number: singular
VA.AMS2P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: plural
VA.AMS2S	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: second<br />Number: singular
VA.AMS3P	Part of speech: verb, 1st aorist active<br />Tense: aorist<br />Voice: middle<br />Person: third<br />Number: plural
